NJ,ZYMC,YHDM
2011,数学类02,106928
2011,数学类02,105791
2011,数学类02,106987
2011,数学类02,107157
2011,数学类02,105562
2011,数学类02,106355
2011,数学类02,105988
2011,数学类02,106126
2011,数学类02,105619
2011,数学类02,107890
2011,数学类02,107601
2011,数学类02,107886
2011,数学类02,106930
2011,数学类02,108454
2011,数学类02,106743
2011,数学类02,106926
2011,数学类02,108455
2011,数学类02,106929
2011,数学类02,109147
2011,数学类02,108015
2011,数学类02,106395
2011,数学类02,105602
2011,数学类02,105583
2011,数学类02,106101
2011,数学类02,105497
2011,数学类02,105823
2011,政法类03,108717
2011,政法类03,105924
2011,政法类03,107368
2011,政法类03,107905
2011,数学类02,105481
2011,数学类02,107898
2011,数学类02,106061
2011,数学类02,108078
2011,数学类02,108410
2011,数学类02,108248
2011,数学类02,107343
2011,数学类02,105534
2011,数学类02,105430
2011,数学类02,106882
2011,数学类02,108026
2011,数学类02,107924
2011,生命科学类17,106763
2011,生命科学类17,105630
2011,生命科学类17,106395
2011,生命科学类17,105721
2011,生命科学类17,108248
2011,生命科学类17,107879
2011,生命科学类17,107885
2011,生命科学类17,105534
2011,生命科学类17,106855
2011,生命科学类17,107992
2011,生命科学类17,108462
2011,生命科学类17,106636
2011,生命科学类17,106191
2011,生命科学类17,106189
2011,生命科学类17,106624
2011,生命科学类17,107755
2011,生命科学类17,107727
2011,生命科学类17,105441
2011,生命科学类17,106629
2011,生命科学类17,106187
2011,生命科学类17,106128
2011,生命科学类17,106186
2011,生命科学类17,107793
2011,生命科学类17,107899
2011,生命科学类17,105510
2011,生命科学类17,106184
2011,生命科学类17,107794
2011,生命科学类17,106627
2011,生命科学类17,105670
2011,生命科学类17,107996
2011,生命科学类17,106195
2011,生命科学类17,107616
2011,生命科学类17,107920
2011,生命科学类17,105988
2011,生命科学类17,105684
2011,生命科学类17,105436
2011,生命科学类17,107931
2011,生命科学类17,107802
2011,生命科学类17,105742
2011,生命科学类17,105743
2011,生命科学类17,106709
2011,生命科学类17,107803
2011,生命科学类17,105475
2011,生命科学类17,107262
2011,生命科学类17,106801
2011,生命科学类17,107617
2011,生命科学类17,106853
2011,生命科学类17,107007
2011,生命科学类17,106850
2011,生命科学类17,106849
2011,生命科学类17,106848
2011,生命科学类17,106856
2011,生命科学类17,106859
2011,生命科学类17,107715
2011,生命科学类17,105482
2011,生命科学类17,105766
2011,生命科学类17,107077
2011,生命科学类17,107139
2011,生命科学类17,106023
2011,政法类03,106841
2011,政法类03,107934
2011,政法类03,105546
2011,政法类03,105668
2011,政法类03,105891
2011,政法类03,105545
2011,政法类03,105510
2011,政法类03,107669
2011,政法类03,105674
2011,政法类03,108067
2011,政法类03,108549
2011,政法类03,109049
2011,政法类03,107237
2011,政法类03,106480
2011,政法类03,106633
2011,政法类03,106231
2011,政法类03,105584
2011,政法类03,106474
2011,政法类03,106479
2011,政法类03,106472
2011,政法类03,106471
2011,政法类03,106470
2011,政法类03,106468
2011,政法类03,106465
2011,政法类03,106476
2011,政法类03,107920
2011,政法类03,107338
2011,政法类03,106938
2011,政法类03,105458
2011,政法类03,105735
2011,政法类03,107356
2011,政法类03,106350
2011,政法类03,109397
2011,政法类03,107580
2011,政法类03,106915
2011,政法类03,106508
2011,政法类03,107217
2011,政法类03,107359
2011,政法类03,105706
2011,政法类03,105479
2011,政法类03,107927
2011,政法类03,106290
2011,政法类03,105444
2011,政法类03,105981
2011,生命科学类17,107420
2011,生命科学类17,107520
2011,生命科学类17,107080
2011,生命科学类17,105637
2011,生命科学类17,107081
2011,生命科学类17,105648
2011,生命科学类17,106021
2011,生命科学类17,107073
2011,生命科学类17,107074
2011,生命科学类17,108078
2011,生命科学类17,108483
2011,生命科学类17,107519
2011,政法类03,107486
2011,政法类03,105915
2011,政法类03,106165
2011,政法类03,106243
2011,政法类03,105896
2011,政法类03,106228
2011,政法类03,105894
2011,政法类03,105694
2011,政法类03,105728
2011,政法类03,105975
2011,政法类03,107711
2011,政法类03,106161
2011,政法类03,107387
2011,政法类03,106934
2011,政法类03,105895
2011,政法类03,107911
2011,政法类03,105702
2011,政法类03,107936
2011,政法类03,107167
2011,政法类03,106184
2011,政法类03,106195
2011,政法类03,105670
2011,政法类03,106627
2011,政法类03,106636
2011,政法类03,106801
2011,政法类03,106629
2011,政法类03,105489
2011,政法类03,106624
2011,生命科学类17,107143
2011,生命科学类17,105858
2011,生命科学类17,106387
2011,生命科学类17,105434
2011,生命科学类17,105764
2011,生命科学类17,106061
2011,生命科学类17,108060
2011,生命科学类17,107882
2011,社会学类03,107101
2011,仪器仪表类02,106547
2011,社会学类03,107098
2011,交叉学科类22,107205
2011,交叉学科类22,105657
2011,交叉学科类22,105665
2011,交叉学科类22,107514
2011,交叉学科类22,109613
2011,交叉学科类22,105510
2011,交叉学科类22,105655
2011,交叉学科类22,105654
2011,交叉学科类22,105593
2011,交叉学科类22,105685
2011,交叉学科类22,107207
2011,交叉学科类22,105659
2011,交叉学科类22,105675
2011,交叉学科类22,105680
2011,交叉学科类22,106269
2011,交叉学科类22,105478
2011,交叉学科类22,105658
2011,交叉学科类22,105653
2011,交叉学科类22,105479
2011,交叉学科类22,105661
2011,交叉学科类22,108551
2011,交叉学科类22,105534
2011,交叉学科类22,105596
2011,交叉学科类22,106686
2011,交叉学科类22,105509
2011,交叉学科类22,105610
2011,交叉学科类22,105630
2011,交叉学科类22,109624
2011,交叉学科类22,105475
2011,交叉学科类22,107201
2011,交叉学科类22,105441
2011,交叉学科类22,105706
2011,交叉学科类22,105468
2011,交叉学科类22,105497
2011,交叉学科类22,105677
2011,交叉学科类22,105493
2011,交叉学科类22,105664
2011,交叉学科类22,105477
2011,交叉学科类22,105464
2011,交叉学科类22,105474
2011,交叉学科类22,106061
2011,交叉学科类22,105435
2011,交叉学科类22,107204
2011,交叉学科类22,105434
2011,交叉学科类22,107147
2011,语言文学类05,105589
2011,语言文学类05,105598
2011,语言文学类05,105597
2011,语言文学类05,105588
2011,语言文学类05,105592
2011,语言文学类05,105615
2011,语言文学类05,107331
2011,语言文学类05,107328
2011,语言文学类05,106018
2011,语言文学类05,107332
2011,语言文学类05,107330
2011,语言文学类05,106024
2011,语言文学类05,106027
2011,语言文学类05,105650
2011,语言文学类05,105600
2011,语言文学类05,111780
2011,语言文学类05,105754
2011,语言文学类05,105613
2011,语言文学类05,105544
2011,语言文学类05,108210
2011,语言文学类05,107195
2011,语言文学类05,106013
2011,语言文学类05,106016
2011,语言文学类05,105962
2011,语言文学类05,105434
2011,语言文学类05,105596
2011,语言文学类05,105614
2011,语言文学类05,105493
2011,语言文学类05,105492
2011,语言文学类05,105583
2011,语言文学类05,106026
2011,语言文学类05,106019
2011,语言文学类05,106022
2011,语言文学类05,106015
2011,语言文学类05,107583
2011,语言文学类05,105619
2011,语言文学类05,105430
2011,语言文学类05,106703
2011,语言文学类05,105464
2011,语言文学类05,110621
2011,语言文学类05,105527
2011,语言文学类05,105499
2011,交叉学科类22,105445
2011,语言文学类05,105451
2011,语言文学类05,105474
2011,语言文学类05,105604
2011,语言文学类05,105626
2011,语言文学类05,106744
2011,语言文学类05,105514
2011,语言文学类05,106474
2011,语言文学类05,106471
2011,语言文学类05,105762
2011,语言文学类05,106941
2011,语言文学类05,106725
2011,语言文学类05,105468
2011,语言文学类05,106700
2011,语言文学类05,106724
2011,语言文学类05,106699
2011,语言文学类05,106698
2011,语言文学类05,107197
2011,语言文学类05,107178
2011,语言文学类05,105475
2011,语言文学类05,105630
2011,语言文学类05,107918
2011,交叉学科类02,105704
2011,交叉学科类02,105692
2011,交叉学科类02,105703
2011,交叉学科类02,105698
2011,交叉学科类02,107221
2011,交叉学科类02,105701
2011,交叉学科类02,105696
2011,交叉学科类02,105441
2011,交叉学科类02,105630
2011,交叉学科类02,105719
2011,交叉学科类02,105694
2011,交叉学科类02,105740
2011,交叉学科类02,105734
2011,交叉学科类02,105691
2011,交叉学科类02,105702
2011,交叉学科类02,105700
2011,交叉学科类02,105531
2011,交叉学科类02,105451
2011,交叉学科类02,105474
2011,交叉学科类02,106090
2011,交叉学科类02,105468
2011,交叉学科类02,106102
2011,交叉学科类02,105464
2011,交叉学科类02,105977
2011,交叉学科类02,111781
2011,交叉学科类22,105626
2011,交叉学科类02,106280
2011,交叉学科类02,105600
2011,交叉学科类02,105565
2011,交叉学科类02,105735
2011,交叉学科类02,107943
2011,交叉学科类02,105497
2011,交叉学科类02,105728
2011,交叉学科类02,105475
2011,交叉学科类02,105755
2011,交叉学科类02,105721
2011,交叉学科类02,105488
2011,交叉学科类02,105695
2011,交叉学科类02,105544
2011,交叉学科类02,105686
2011,交叉学科类02,105727
2011,交叉学科类02,105739
2011,交叉学科类02,105436
2011,交叉学科类02,105914
2011,交叉学科类02,105716
2011,交叉学科类02,106269
2011,交叉学科类02,105510
2011,交叉学科类02,105602
2011,交叉学科类02,105610
2011,交叉学科类02,105693
2011,交叉学科类02,106384
2011,交叉学科类22,107315
2011,交叉学科类22,107203
2011,交叉学科类22,105476
2011,交叉学科类22,105890
2011,交叉学科类22,105430
2011,交叉学科类22,105456
2011,交叉学科类22,105492
2011,交叉学科类22,105451
2011,交叉学科类22,107202
2011,交叉学科类22,106108
2011,交叉学科类22,107919
2011,交叉学科类22,105436
2011,交叉学科类22,105531
2011,工科大类04,105427
2011,工科大类04,105425
2011,工科大类04,106569
2011,工科大类04,105735
2011,工科大类04,108217
2011,工科大类04,105534
2011,工科大类04,105488
2011,工科大类04,105455
2011,工科大类04,105450
2011,工科大类04,105602
2011,工科大类04,105520
2011,工科大类04,105434
2011,工科大类04,105493
2011,工科大类04,105890
2011,化学类08,105441
2011,化学类08,107149
2011,化学类08,105467
2011,化学类08,105466
2011,化学类08,105459
2011,化学类08,105858
2011,语言文学类13,106465
